,tweet,reply1,reply2,reply3,reply4,reply5,reply6,reply7,reply8,reply9,reply10,reply11,reply12,reply13,reply14,reply15,reply16,reply17,reply18,reply19,reply20,reply21,reply22,reply23,reply24,reply25,reply26,reply27,reply28,reply29,reply30,reply31,reply32,reply33,reply34,reply35,reply36,reply37,reply38,reply39,reply40,reply41,reply42,reply43,reply44,reply45,reply46,reply47,reply48,reply49,reply50,reply51,reply52,reply53,reply54,reply55,reply56,reply57
51,"18-летнюю фигурантку дела о беспорядках в Бресте, которая скрывалась, задержали — и отправили под стражу.… https://t.co/iIirIa7aHy",@tutby Ну и зачем вернулась?...,@tutby А с какой страны она вернулась?,"@tutby Читайте на TUTBY о суде в Бресте: 
Среди обвиняемых  многодетный отец, несовершеннолетний учащийся колледжа,… https://t.co/E7bnVTHlIK",@tutby Опять какой-то пиздец подвезли,"@tutby 💐💐💐💐💐

❤️❤️📢❤️❤️

⬜️⬜️⬜️⬜️⬜️
🟥🟥🟥🟥🟥🩸 😓 😢
⬜️⬜️⬜️⬜️⬜️

❤️❤️🥊❤️❤️

💐💐💐💐💐",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Посмотрите, какой получилась свадьба у бедной пары с 6 детьми (они годами собирали мусор).

https://t.co/T7YZ4fuOk5 https://t.co/wV1KepMZBV",@tutby Это точно белорусы?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Собрали варианты подарков из техники на 8 Марта — от робота-пылесоса до смартфона.

https://t.co/QKR3mVZT0g https://t.co/kxZ184M7lq","@tutby робот-пылесос преподносить в качестве подарка на 8 марта, ну камон",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Носкевич: С лета 2020 года возбуждено 2407 уголовных дел экстремистской направленности.

https://t.co/a1RppKglqI https://t.co/Mmaaw8BusY","@tutby Так в ООН говорили что не больше 200-400 недовольных на весь Минск, не?)","@tutby Я проста не магу ўявіць, колькі справаў будзе ўзбуджана за здраду і дзяржаўны тэрарызм... тысячы і тысячы “к… https://t.co/2ADEuCesGi","@tutby @slawabeganski Странная закономерность наблюдается, в Беларуси число ""экстремистов"" растёт обратно пропорцио… https://t.co/NS7Knelusn","@tutby Медаль этому работяге.
Посмертно.",@tutby Нахуй идет идет этот носок мусорской,@tutby И при этом ни одного за преступления...,@tutby 2407 fictional stories have been written.,@tutby Мразь,"@tutby Вопрос: как следственный комитет допустил такого всплеска ""экстремизма"" в одной из самых безопасных стран Европы?","@tutby Директор ФБР США: ""Расследуются более 2000 уголовных дел по случаям внутреннего терроризма""",@tutby Звучит двусмысленно.,"@tutby 20 ""наркоманов"" и ""проституток"" у ""математиков"" все множатся в геометрической прогрессии.","@tutby І 0 спраў антыгенацыднай накіраванасці супраць прадстаўнікоў хунты, на хвіліначку. Амаль не паляцца.",@tutby лучше бы на женщин возбуждались. мусарню не понять. как может добровольно нравится жить в казарме и ходить с… https://t.co/xTgl8SGOYs,@tutby В США 70 млн. американцев объявили экстремистами https://t.co/F4PVqnJAyt,"@tutby Кругом одни экстремисты. Ну да, ну да",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Смотрите, какие шикарные дома продаются рядом с Минском.

https://t.co/aP9j0hAqHc https://t.co/JYOkvOgwgH",@tutby дом нужно рубить самому по заветам предков,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Насчитали 13 идей, как провести первый весенний уикенд. 

Что выберете?

https://t.co/ECXOhvwvLL https://t.co/8A0dNGWznx",@tutby Ein Frühling mit Glasnost und Perestroika.,"@tutby выберем таблетки, чай и сериальчики)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,ЕЭК предложила Беларуси избавиться от обязательного перечня белорусских товаров в магазинах.… https://t.co/nU3JAscO8h,@tutby И как это понимать?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"Врач рассказывает, почему бывают прыщи на спине и как от них избавиться.

https://t.co/bSu62eCHke https://t.co/qaTLiR0dhv",@tutby И как это понимать?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Если не читали вчера.

Полиция начала проверку после попытки жены Мамаева покончить с собой.… https://t.co/r7J1lsOUf1",@tutby Вообще пох..,"@tutby Прочем «жены Макея»...Жаль жену Мамаева (кто это вообще?), но не жаль было бы жену Макея.","@tutby Там у игрока чемпионата Греции кошка родила, @tutby, я думаю тоже есть смысл поведать об этом всей Беларуси",@tutby И что они делают в Беларуси?,"@tutby А тебя просто в дурку на месяц закроют и отберут права года на три, а эта тюнингованная пизда, через пару дн… https://t.co/spsSFBULOi",@tutby А кто такой Мамаев?!,"@tutby Нашла повод, ради чего?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Сколько нужно зарабатывать, чтобы взять 20 тысяч рублей в кредит?

Посмотрели.

https://t.co/QlnbM9CR6h https://t.co/xjIESsmBEn",@tutby Вообще пох..,"@tutby Прочем «жены Макея»...Жаль жену Мамаева (кто это вообще?), но не жаль было бы жену Макея.","@tutby Там у игрока чемпионата Греции кошка родила, @tutby, я думаю тоже есть смысл поведать об этом всей Беларуси",@tutby И что они делают в Беларуси?,"@tutby А тебя просто в дурку на месяц закроют и отберут права года на три, а эта тюнингованная пизда, через пару дн… https://t.co/spsSFBULOi",@tutby А кто такой Мамаев?!,"@tutby Нашла повод, ради чего?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Если не найдется 500 млн долларов, то новополоцкий завод «Полимир» придется закрыть.

https://t.co/RPKocPF5mN https://t.co/Rst4SxsLck",@tutby Закрыть так закрыть. Ну а хули нам модернизаторам.,"@tutby Найдётся, это когда они есть, но за подкладку завалились. Но денег нет, и искать нечего, попробуйте заработа… https://t.co/yRY1wjt9Ei",@tutby «Найдётся» - это как у Тихановского за диваном?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Посмотрели, как в Купаловском прошел первый спектакль после президентских выборов.

«Осторожно, тут могут быть бэче… https://t.co/F7LTvJbhXG","@tutby цікавыя сьветлыя тутавыя тэатралы, аж нават не саромяцца прызнацца, як падглядаюць з-за сьпіны ў тэлефон нез… https://t.co/DLHX4lun4y","@tutby Как рвёт на куски хозяйку TUTBY Чернявскую, жирную, старую, косую бабу которая считает себя культурологом, о… https://t.co/qhcMImZoDa",@tutby Ну это вряд ли,@tutby видимо бухлишко ябатьки хотели достать))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"История мотоциклистки, которая в 25 лет стала жертвой страшной аварии и парализована 2 года.

«Парень выдержал полг… https://t.co/mUSZyNRFdI","@tutby Я так понял это не она сделала несколько странный выбор, это парень во всём виноват?",@tutby Лежу с ней сейчас в больнице. Реально не просто ей,"@tutby Заметили каждый день заголовок на TUTBY
""мужыки козлы""

Это не просто так. Феминистический грант отрабатывают","@tutby Бедная девушка ((
Пусть держится, при новой власти есть высокая вероятность что по-новому рассмотрят ее дело… https://t.co/t8OsMVZyaE","@tutby Почитала статью, хотя по названию конечно просится - ага, мотоциклистка, итог, какая разница, что не она вин… https://t.co/dLNWFOkUHk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Замглавы МВД Геннадий Казакевич озвучил социальный портрет «преступника», «связанного с протестной активностью».

В… https://t.co/fn3cdSnw57",@tutby «Это неработающий мужчина в возрасте от 18 до 35 лет. Либо работающий на какой-то низкооплачиваемой должност… https://t.co/s1cW815uGP,"@tutby Мне больше всего понравилось про ""выборы"")))",@tutby А вот что мне напоминает социальный портрет нашей милиции ? https://t.co/FtCqi39NVW,"@tutby Чуть по культурнее повторил слова лукашенки, все алкоголики, наркоманы, тунеядцы и тд. Негодяй высшей степен… https://t.co/TobagNCRWO",@tutby От возраста не зависит https://t.co/oopyupQ2lG,"@tutby Эдак ""статистика"" скоро снизойдёт до общепринятых клише - безработный бомжующий пьющий наркоман проститут ай… https://t.co/cPTDSVDnh3","@tutby Грусть, я попадаю под этот ""портрет"", хотя 90% времени работаю дома и никуда не хожу дальше гаража.","@tutby Отрицательная селекция в действии, нормальные люди на службе в милиции не задерживаться, прошли времена дяде… https://t.co/uyGFez0Vck",@tutby +5 к уважению пенсионерам за активность :),"@tutby Казакевич, смотри, я портрет мента опишу - тупой баран, без образования и будущих перспектив, если бы не сво… https://t.co/sewJXJbOpT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Колонна людей с БЧБ-флагами прошлась в минском микрорайоне Юго-Запад, скандируя «Жыве Беларусь». https://t.co/pLpwoRfFCG","@tutby меняет ситуацию в стране конечно, да)",@tutby Походу Тутбай окончательно превратился в помойку с непонятно какими ценностями. Чем хуже для страны тем лучш… https://t.co/RI78NSNvuq,@tutby Где колонна редакции? https://t.co/jeKQyLz9Ht,@tutby 97й 🤣,"@tutby Прыгожа!! Я гарантую, што маршы (вялікія і малыя) не знікнуць навт тады, калі мы вернем Беларусь з лапаў фаш… https://t.co/PO1BFf80Hd","@tutby А вы говорите, нет вмешательства Запада","@tutby 🗣️ 🎶🎶🎶🎶

💐💐💐💐💐

❤️❤️📢❤️❤️

⬜️⬜️⬜️⬜️⬜️
🟥🟥🟥🟥🟥🩸 😓 😢
⬜️⬜️⬜️⬜️⬜️

❤️❤️🥊❤️❤️

💐💐💐💐💐",@tutby здароўя ім усім,@tutby Жыве вечна!!!,"@tutby не густо за 30 млн евро, опять все деньги скапитализдили?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Расскажите, что вас волнует.

#вопросдня https://t.co/lSMs5kNgUu",@tutby Молодцы тутбай. Поднимаете острые и глубинные вопросы) ЖЫВЕ БЕЛАРУСЬ!!!,@tutby Вера в невидимую руку рынка и ожидание доброго царя. #КапитализмУбивает,@tutby Што 25 сакавіка не вярнуся да дому,"@tutby Что 25-того снова случится насилие на улицах со стороны фашистов, а большая часть населения так и не раскрое… https://t.co/p9BHz4QTcQ",@tutby Что моего брата выгонят отсюда.,"@tutby Боюсь за белорусский народ, который допускает такой произвол правоохранителей",@tutby Што сіпаты ўблюдак не атрымае пажыццёвае...,@tutby НАТО,@tutby Безразличия и трусости большинства.,"@tutby Што фашысты захапіўшыя краіну, пачнуць зноў свае карацельныя аперацыі, а беларусы зноў выйдуць з кветкамі",@tutby Что все зря.,@tutby кацапы нападут на Украину с вашей территории,@tutby Людей.,"@tutby что меня возьмут в плен вражеские оккупанты, захватившие мою страну","@tutby Если выкинуть из вопроса слово ""больше"", то он станет интереснее.",@tutby Мэмы,"@tutby Меня волнует, как заработать многаденег, когда ты уже старенький.",@tutby Что усы навсегда.,"@tutby Что посадят раньше, чем успею пройти масс эффект 3",@tutby не проснуться),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Человечество выбрасывает почти миллиард тонн еды в год.

Если ее поместить в 40-тонные грузовики, припаркованные вс… https://t.co/wSVuLTki4t",@tutby Молодцы тутбай. Поднимаете острые и глубинные вопросы) ЖЫВЕ БЕЛАРУСЬ!!!,@tutby Вера в невидимую руку рынка и ожидание доброго царя. #КапитализмУбивает,@tutby Што 25 сакавіка не вярнуся да дому,"@tutby Что 25-того снова случится насилие на улицах со стороны фашистов, а большая часть населения так и не раскрое… https://t.co/p9BHz4QTcQ",@tutby Что моего брата выгонят отсюда.,"@tutby Боюсь за белорусский народ, который допускает такой произвол правоохранителей",@tutby Што сіпаты ўблюдак не атрымае пажыццёвае...,@tutby НАТО,@tutby Безразличия и трусости большинства.,"@tutby Што фашысты захапіўшыя краіну, пачнуць зноў свае карацельныя аперацыі, а беларусы зноў выйдуць з кветкамі",@tutby Что все зря.,@tutby кацапы нападут на Украину с вашей территории,@tutby Людей.,"@tutby что меня возьмут в плен вражеские оккупанты, захватившие мою страну","@tutby Если выкинуть из вопроса слово ""больше"", то он станет интереснее.",@tutby Мэмы,"@tutby Меня волнует, как заработать многаденег, когда ты уже старенький.",@tutby Что усы навсегда.,"@tutby Что посадят раньше, чем успею пройти масс эффект 3",@tutby не проснуться),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Вечерние акции солидарности в Дзержинске, Минске, Пружанах и Москве. https://t.co/cDC45txBkB","@tutby 💐💐💐💐💐

❤️❤️📢❤️❤️

⬜️⬜️⬜️⬜️⬜️
🟥🟥🟥🟥🟥🩸 😓 😢
⬜️⬜️⬜️⬜️⬜️

❤️❤️🥊❤️❤️

💐💐💐💐💐","@tutby Шо там, боты опять взорвались?",@tutby кучки долбодятлов,@tutby Выслать из России....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"10 стран, которые владеют самым разрушительным оружием в мире.

Что о них известно?

https://t.co/JOqLuuwiV9 https://t.co/0gAcKYDT13","@tutby Известно, что все они сговорились против Беларуси",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"39 человек стали фигурантами дела о страховом мошенничестве.

«Покупали авто до 600 долларов для подставных ДТП».… https://t.co/BGZUMYAOnZ","@tutby Это они так боролись с рЭжымом, правильно я понимаю?😁",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Красивая Беларусь в рассветном и закатном солнце �

Фото: aaaminsk, Instagram https://t.co/oNLt3o36pL","@tutby Это они так боролись с рЭжымом, правильно я понимаю?😁",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Врач рассказывает, почему бывают прыщи на спине и как от них избавиться.

https://t.co/bSu62eCHke https://t.co/ZfW79LSauu",@tutby сексом занимайтесь и прыщей не будет,@tutby Постіль треба прати. І спідній одяг час від часу.,"@tutby Жопой об косяк. Курс ретиноидов и все равно через 5 лет вернулись, слава богу только частично.","@tutby Да хуй ты от них избавишься, забей.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Итоги ажиотажа: за два месяца техосмотр прошло столько машин, сколько раньше за полгода.

https://t.co/yIWGxWHjqO https://t.co/7OJKSHFozV",@tutby Вы знаете как техосмотр проходят в загранице? Ни как они вообще его не проходят нах он не упал им.   Это бай… https://t.co/ZJZxsEFeTx,"@tutby А в сколеновстане по херу на обещанные ужесточения. Тут все понимают, что коррупционное дно неискоренимо. Та… https://t.co/hVirOs7N1v",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Белорусов атаковали банковские мошенники.

Рассказываем, откуда у них данные, почему их сложно найти и как защитить… https://t.co/d2zlrkKhwL","@tutby лютая брехня. все атакі мошенніков началісь ровно в тот момент, когда лукашенка сліл базы персональных данны… https://t.co/NEjQr10qXt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Сегодня ровно 125 лет со дня рождения баснописца, драматурга и поэта Кондрата Крапивы. Вспоминаем факты о нем.

Пер… https://t.co/MAA4rXKbt9",@tutby Чо та они знают? Не первый высер подлизаться да ўладаў?,"@tutby Тутбай - Крапива не ваш герой.
""В начале ВОВ работал в редакции газеты «Красноармейская правда», затем в ред… https://t.co/HWXrYMHNtv",@tutby кляты бандеровец.  экстремізм тм.  по версіі 6ых номеров кремля,"@tutby Крапива был белорусским Михалковым - по сути, обслугой власти и пропагандоном. То, что он писал на белорусск… https://t.co/OmnlHYxH21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Кошка задержала отправление скоростного поезда на два с половиной часа.

https://t.co/kCVuNTEcZk https://t.co/bVja9FmJVI",@tutby На Западе у кошки больше прав и свобод чем у человека в Беларуси. https://t.co/VjFF6P5c1R,@tutby Не следят в Англии за трендами https://t.co/5jwosnlyNf,@tutby Лайк таким кошкам,"@tutby Кіт, ты маму мав?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"В докладе спецслужб Литвы о возможных угрозах в 2021 году — много о Беларуси.

Кратко рассказываем, чем озабочены л… https://t.co/X0OKJsiYsP","@tutby Когда жена застала с любовницей, он заявил что виноват не он, а Лукашенко

🤣😂😂 https://t.co/PbM3P0vBbi","@tutby ""«любовные ловушки» инцидент с попыткой спецслужб нашей страны склонить к сотрудничеству литовца, который до… https://t.co/AQqyfILP8P","@tutby Спецслужбы Литвы озабочены, что КГБ Беларуси вербует озабоченных литовцев с помощью секса?",@tutby Спецслужбы Литвы. Смешно уже от самого названия😁,"@tutby Литва...спецслужбы...озабочены...
Уже даже само сочетание этих слов бред какой-то напоминает.",@tutby Фашистское государство в качестве соседа - по-любому угроза,@tutby Так лабусы давно пиндоские инструкции передают - передасты короч ((,"@tutby BelNPP
Russian troops
KGB
Novichok 🩲",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Можно ли уберечь ребенка от рака и как во время заметить тревожные симптомы?

Поговорили об этом с детским онколого… https://t.co/C99wATv2La","@tutby Когда жена застала с любовницей, он заявил что виноват не он, а Лукашенко

🤣😂😂 https://t.co/PbM3P0vBbi","@tutby ""«любовные ловушки» инцидент с попыткой спецслужб нашей страны склонить к сотрудничеству литовца, который до… https://t.co/AQqyfILP8P","@tutby Спецслужбы Литвы озабочены, что КГБ Беларуси вербует озабоченных литовцев с помощью секса?",@tutby Спецслужбы Литвы. Смешно уже от самого названия😁,"@tutby Литва...спецслужбы...озабочены...
Уже даже само сочетание этих слов бред какой-то напоминает.",@tutby Фашистское государство в качестве соседа - по-любому угроза,@tutby Так лабусы давно пиндоские инструкции передают - передасты короч ((,"@tutby BelNPP
Russian troops
KGB
Novichok 🩲",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Что такое «синдром отличника» и почему таким людям очень тяжело жить?

https://t.co/2fuxCVCFFS https://t.co/qEt7IKMIZs",@tutby нам хорошистам не понять,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Опубликовали итоги республиканского опроса по COVID-19, который проводили в ноябре–декабре 2020 года.

Большинство… https://t.co/EVTo6lck6Q","@tutby Хто-хто? НАН Беларусі? Сацыялагічнае даследванне?
Іншых казак у вас няма там?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Лукашенко повысил в звании госсекретаря Совета безопасности.

https://t.co/MuUuHg8oTQ https://t.co/2As3vKFRFN",@tutby Ура товарищи!!! https://t.co/ITS0iR15CZ,@tutby почему вся эта чинушня и силушня так похожа на мертвечину? вопрос риторический,@tutby Тяперича - генерал-фельдмаршал. Почти как Паулюс.,"@tutby Когда генеральские погоны закончатся у сипатого, начнёт награждать жёлтыми штанами стабильнасти...","@tutby Вешает медальки своим собачкам, а те и радуются. Паноптикум, блять https://t.co/TXMcc7BWA8","@tutby Навіны, апошнім часам, амаль усе пра якіх-та невядомых салдат. Пра якіясь медалі, чыны, пагоны.
Хто усе гэты… https://t.co/e6oHNzUBdT","@tutby Надо было медаль дать , а то как-то несерьёзно.",@tutby как то он побледнел. от гордости наверное...,"@tutby На столбе будет висеть, уёбок👎",@tutby На хуй идут,"@tutby Rank of Secretary
Does he make the coffee?",@tutby https://t.co/9IgozIk4TM,@tutby маршал?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"В Налоговый кодекс ввели изменения, которые касаются зарплат «в конвертах».

Если обнаружат такие выплаты, то с раб… https://t.co/IgqcBoLbZI",@tutby .. они должны стучать?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Какие реликвии потерял мир в новом тысячелетии?

https://t.co/HgnR3Oz8fX https://t.co/7Xu3AnYXaY",@tutby И все они потеряны за время оккупации США.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Какие фильмы должны выйти в этом году? 

Вот пять самых ожидаемых.

https://t.co/mTadfFB3sO https://t.co/PcGakmbymO",@tutby И все они потеряны за время оккупации США.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Год с коронавирусом. Куда белорусы сейчас могут слетать за границу и что для этого нужно?

https://t.co/5Lp7hSVczt https://t.co/2LYu7ifoxc",@tutby И все они потеряны за время оккупации США.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"В Viber появилась функция, которая должна защитить белорусов от звонков мошенников.

Наконец-то!… https://t.co/9pPLyLjGkS",@tutby Очень хорошо. Советую пожилым родственникам эту опцию подключить в первую очередь!,"@tutby ну,наверное,не только белорусов?","@tutby посмеялся. т.е. паспортные і банковскіе  данные, продаренные лукашенкой путіну, не прічем.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Путин заявил о способности интернета разрушить общество изнутри.

https://t.co/rpbP74Zrlp https://t.co/lrSroVjtjF",@tutby Ни..уясе аж 1917 года изнутри разрушает 🤣,@tutby За интернет и бабульки выйдут на улицу! Не рискуй путин,"@tutby Ого, как в комментарии слетаются рагули. Просто как мухи на дерьмо! 😁","@tutby Если он всеобщий и не отвечает цензуре определённого режима, безусловно, это угроза.",@tutby Вот же диктаторов интернет бесит...,@tutby Just like Das Kapital did in the past!,@tutby Ого. Эффективней чем дешевая алкашка в магазинах?,"@tutby Разрушать интернет может только лапшу, которую всякие плешивые дегенераты пытаются вешать всему обществу на уши.",@tutby Рыхтуемся да блакіроўкі,"@tutby Фигассе заява от президента! Это что же он за общество такое построил, воспитанное ""на великих победах дИдов… https://t.co/5vP4CrjJvb","@tutby Yeah, by informing people how corrupted their government is.",@tutby Мудрые китайцы это сразу поняли и теперь это самая развитая страна в мире...,@tutby Открыл Америку...,"@tutby Вы издеваетесь, нам своего говна мало что ли","@tutby Maybe he is correct?
Twitter, YouTube and Facebook needs to BAN all Kremlin and Kremlin sponsored accounts.","@tutby Интернет разрушает не общество, а ложь в обществе. С приходом интернета, пердункам вроде путена, стало невоз… https://t.co/cp4gcTSlYz","@tutby бункерная пыня с диалапа в чебурнете зависает, оттого совсем мозги отгнили, если когда там что-то вообще было","@tutby Время людей помнящих СССР стремительно уходит, как песок сквозь пальцы.",@tutby https://t.co/4J2Cy2litB,"@tutby Ну пусть при помощи интернета разрушит общество в: Германии, Франции, США, Японии и т.д. Что, не очень то по… https://t.co/iPszAK9pSd",@tutby Важное заявление Путина на счёт интернета https://t.co/nabG4QyzCR,@tutby Поверьте...он больше всех интересуется интернетом. Это просто позиция для терпил  - мол я такой консервативн… https://t.co/98XUJY06PJ,@tutby поэтому его надо отключить ....,"@tutby слухи подтверждаются, путлер хочет  ввести железный занавес и китайский файрволл",@tutby Надо начинать с себя ИМХО,"@tutby Тутбай, Вы НЕ согласны?????? Вы же этим занимаетесь ежедневно в РБ!",@tutby Больной на голову,@tutby Ещё один представитель кнопочных,"@tutby Общество в кавычки.
Или замените на быдлостадо.",@tutby Путін Хуйло,@tutby путин - хуйло!,"@tutby Правильно,каждому в квартиру по мутному зеркалу,пусть 'старший брат'смотрит на нас.","@tutby Смена транспорта с лошадей на автомобили - тоже самое, это просто часть прогресса",@tutby https://t.co/H8pGaJOAmf,,,,,,,,,,,,,,,,,,,,,,,
88,"Что происходит, когда человек заражается сразу двумя штаммами COVID-19?

https://t.co/QPKbkGXr4t https://t.co/QMZPpAxpI8",@tutby Ни..уясе аж 1917 года изнутри разрушает 🤣,@tutby За интернет и бабульки выйдут на улицу! Не рискуй путин,"@tutby Ого, как в комментарии слетаются рагули. Просто как мухи на дерьмо! 😁","@tutby Если он всеобщий и не отвечает цензуре определённого режима, безусловно, это угроза.",@tutby Вот же диктаторов интернет бесит...,@tutby Just like Das Kapital did in the past!,@tutby Ого. Эффективней чем дешевая алкашка в магазинах?,"@tutby Разрушать интернет может только лапшу, которую всякие плешивые дегенераты пытаются вешать всему обществу на уши.",@tutby Рыхтуемся да блакіроўкі,"@tutby Фигассе заява от президента! Это что же он за общество такое построил, воспитанное ""на великих победах дИдов… https://t.co/5vP4CrjJvb","@tutby Yeah, by informing people how corrupted their government is.",@tutby Мудрые китайцы это сразу поняли и теперь это самая развитая страна в мире...,@tutby Открыл Америку...,"@tutby Вы издеваетесь, нам своего говна мало что ли","@tutby Maybe he is correct?
Twitter, YouTube and Facebook needs to BAN all Kremlin and Kremlin sponsored accounts.","@tutby Интернет разрушает не общество, а ложь в обществе. С приходом интернета, пердункам вроде путена, стало невоз… https://t.co/cp4gcTSlYz","@tutby бункерная пыня с диалапа в чебурнете зависает, оттого совсем мозги отгнили, если когда там что-то вообще было","@tutby Время людей помнящих СССР стремительно уходит, как песок сквозь пальцы.",@tutby https://t.co/4J2Cy2litB,"@tutby Ну пусть при помощи интернета разрушит общество в: Германии, Франции, США, Японии и т.д. Что, не очень то по… https://t.co/iPszAK9pSd",@tutby Важное заявление Путина на счёт интернета https://t.co/nabG4QyzCR,@tutby Поверьте...он больше всех интересуется интернетом. Это просто позиция для терпил  - мол я такой консервативн… https://t.co/98XUJY06PJ,@tutby поэтому его надо отключить ....,"@tutby слухи подтверждаются, путлер хочет  ввести железный занавес и китайский файрволл",@tutby Надо начинать с себя ИМХО,"@tutby Тутбай, Вы НЕ согласны?????? Вы же этим занимаетесь ежедневно в РБ!",@tutby Больной на голову,@tutby Ещё один представитель кнопочных,"@tutby Общество в кавычки.
Или замените на быдлостадо.",@tutby Путін Хуйло,@tutby путин - хуйло!,"@tutby Правильно,каждому в квартиру по мутному зеркалу,пусть 'старший брат'смотрит на нас.","@tutby Смена транспорта с лошадей на автомобили - тоже самое, это просто часть прогресса",@tutby https://t.co/H8pGaJOAmf,,,,,,,,,,,,,,,,,,,,,,,
